GeneName,FC,P,FDR,Color,Significance
GMPR2,-0.142555715,0.475731164,0.707613895,#D3D3D3,0.322638398
HECTD3,-0.59876895,0.030354217,0.142035284,#0072B2,1.517780962
AMPH,-0.387706298,0.02784394,0.13383672,#D3D3D3,1.555269317
LCAT,-0.105819143,0.618611163,0.808285336,#D3D3D3,0.208582247
TMEM134,0.024976108,0.888712868,0.950765943,#D3D3D3,0.051238532
GP1BA,0.691751403,0.008256754,0.059519661,#56B4E9,2.08319067
TSPAN18,-0.364750232,0.140293888,0.362933721,#D3D3D3,0.852961248
SGCG,-0.609061204,0.106166517,0.308931366,#D3D3D3,0.974012432
FXYD2,-0.347814738,0.043350236,0.176096622,#D3D3D3,1.363008529
SETD2,0.516683109,0.025803101,0.1282168,#56B4E9,1.588328103
NPY2R,-0.054060971,0.914597093,0.962090838,#D3D3D3,0.038770184
STRC,0.096480173,0.679522116,0.842233467,#D3D3D3,0.167796404
GNG13,0.307477567,0.26327035,0.519877564,#D3D3D3,0.579598049
FNDC3A,-1.285611753,9.07E-06,0.000474847,#0072B2,5.042293874
AHCY,0.102244548,0.607771877,0.801078222,#D3D3D3,0.216259399
CDC123,0.153095525,0.081029409,0.262477352,#D3D3D3,1.091357327
TRAF1,0.587079532,0.019864738,0.107687456,#56B4E9,1.70191715
SLC4A8,-0.167813939,0.466471862,0.701706244,#D3D3D3,0.331174548
MMP9,0.659635744,0.010914421,0.071703002,#56B4E9,1.961999284
DRD3,-0.377999844,0.157538549,0.387764316,#D3D3D3,0.802613158
CDK15,-0.650283567,0.087440329,0.27602909,#D3D3D3,1.058288216
ALDH1A2,-0.414740692,0.111698812,0.317626419,#D3D3D3,0.951951444
IMMP2L,0.369169273,0.253405676,0.508561474,#D3D3D3,0.596183662
MAP4,-0.220590948,0.08347958,0.268299932,#D3D3D3,1.078419744
MGST3,-1.192771456,9.89E-06,0.000505339,#0072B2,5.00501044
RNF43,-0.285692015,0.635979054,0.818853397,#D3D3D3,0.196557188
BATF3,-0.62054415,0.010074252,0.067599202,#0072B2,1.996787176
TRIM39,0.170386092,0.455121143,0.69419129,#D3D3D3,0.341872989
NIM1K,-0.278634118,0.087394799,0.275988747,#D3D3D3,1.058514412
GLIPR1L2,-0.288995588,0.286968802,0.543654635,#D3D3D3,0.542165316
OR1L1,0.743262541,0.110476206,0.315533974,#D3D3D3,0.956731247
SLC16A1,-0.709627252,0.004535586,0.038685606,#0072B2,2.343366641
ZFYVE19,-0.14733591,0.479498746,0.710084514,#D3D3D3,0.319212525
OR10H3,-0.28090261,0.267031211,0.523928293,#D3D3D3,0.573437974
ST6GALNAC4,-0.431514338,0.146636277,0.371975891,#D3D3D3,0.833758573
FAM189B,-0.333538531,0.019968097,0.108024578,#D3D3D3,1.699663324
RHD,-0.115720202,0.539427006,0.753839611,#D3D3D3,0.268067315
FAM162B,0.174831663,0.58273807,0.783836187,#D3D3D3,0.234526609
E2F3,-0.421353423,0.131287899,0.34873542,#D3D3D3,0.881775303
ARHGEF2,0.411609369,0.005020226,0.041618736,#D3D3D3,2.299276722
IGHA1,-6.262534609,5.07E-11,8.54E-07,#0072B2,10.29531262
OTOP1,0.194182078,0.381037067,0.632814698,#D3D3D3,0.419032774
MDGA1,0.418628716,0.002237479,0.02333728,#D3D3D3,2.650241041
GSTA4,-0.651411417,0.017922445,0.100856391,#0072B2,1.74660274
DMTN,-0.688639554,0.038146229,0.162722484,#0072B2,1.418548394
NPEPL1,-0.37170286,0.025229344,0.126289089,#D3D3D3,1.598094044
CCDC171,0.087197451,0.673612978,0.838677784,#D3D3D3,0.171589554
FAM13C,-0.004307542,0.986702016,0.995734526,#D3D3D3,0.005813985
SLCO3A1,-0.081931549,0.741100659,0.875873378,#D3D3D3,0.130122801
AAMP,-0.247363089,0.031950044,0.146750591,#D3D3D3,1.495528535
SPIN2B,0.582983294,0.019072743,0.104844101,#56B4E9,1.719586839
CP,-0.376844173,0.220377061,0.470632917,#D3D3D3,0.656833614
GPR62,-0.076989819,0.618030133,0.80765138,#D3D3D3,0.20899035
DVL3,0.241561539,0.213737938,0.463204219,#D3D3D3,0.670118384
MBIP,-0.36145768,0.006080096,0.047974688,#D3D3D3,2.216089585
PDCL,-0.196110239,0.337687777,0.59580714,#D3D3D3,0.471484659
PLA1A,-0.182667875,0.428614231,0.673679404,#D3D3D3,0.367933414
IFT52,0.467448779,0.034103189,0.152947084,#D3D3D3,1.467205013
DSCC1,0.243105119,0.338830671,0.596537359,#D3D3D3,0.470017284
ZNF26,0.502055252,0.190077609,0.433265893,#D3D3D3,0.72106904
ARL6IP6,0.330354263,0.230535262,0.482543629,#D3D3D3,0.637262637
SUN2,0.505409056,0.002369433,0.024379993,#56B4E9,2.625355521
METTL16,0.765104783,0.005954869,0.047252053,#56B4E9,2.225127795
ASTE1,0.162054449,0.628986542,0.814079188,#D3D3D3,0.201358647
CCNB1,0.696180136,0.180149834,0.421525102,#D3D3D3,0.744366133
KLHL41,0.12164615,0.604459608,0.799024489,#D3D3D3,0.218632715
TUBAL3,-0.486812898,0.085456983,0.271855794,#D3D3D3,1.068252442
CREG2,0.198449343,0.446285012,0.687289658,#D3D3D3,0.350387698
GOLGA4,-0.478707616,0.009847363,0.066600101,#D3D3D3,2.006680063
RNF26,0.045638132,0.826314063,0.9208073,#D3D3D3,0.082854856
HINFP,0.007303762,0.954394373,0.981590838,#D3D3D3,0.02027213
WDFY2,0.34011027,0.17640533,0.415979987,#D3D3D3,0.753488296
PROSER1,0.022174437,0.915523208,0.962428489,#D3D3D3,0.038330642
ENTHD1,-0.264484914,0.066177105,0.230016277,#D3D3D3,1.179292236
SLC25A46,-0.038332585,0.770593032,0.891148297,#D3D3D3,0.113174922
CTNNBIP1,-0.051611068,0.669989197,0.836707805,#D3D3D3,0.1739322
BUB3,0.318858021,0.049030834,0.190450721,#D3D3D3,1.309530717
UNC119,0.328179391,0.074061698,0.246735689,#D3D3D3,1.130406338
ST6GALNAC2,-0.413629966,0.190985093,0.434394435,#D3D3D3,0.719000529
LMLN,-0.827370414,0.020938746,0.111748455,#0072B2,1.679049335
RSPH3,-0.03399846,0.933096689,0.970770738,#D3D3D3,0.030073352
EMC4,-0.255872565,0.108747471,0.312439497,#D3D3D3,0.963580834
ALDH18A1,-0.495954827,0.012855987,0.080244385,#D3D3D3,1.89089459
ACADSB,-0.029668216,0.882246775,0.947453394,#D3D3D3,0.054409921
PPP4R1,0.343460478,0.107401141,0.310287085,#D3D3D3,0.968991107
THY1,0.165063697,0.548186724,0.761049345,#D3D3D3,0.261071486
TRAF7,0.101750057,0.667803263,0.835944459,#D3D3D3,0.175351463
ZNF440,0.12541073,0.508126819,0.730908318,#D3D3D3,0.294027882
UCN,-0.186560881,0.614622928,0.805196644,#D3D3D3,0.211391243
SEMA3F,0.08891133,0.769752341,0.89109183,#D3D3D3,0.113648982
FAIM2,0.220802039,0.29355574,0.550572763,#D3D3D3,0.532309424
CDC25B,0.015437741,0.930722055,0.969972144,#D3D3D3,0.031179995
CSN1S1,-0.253239607,0.392684378,0.642740847,#D3D3D3,0.405956376
CARD16,-0.196888593,0.36571884,0.620621821,#D3D3D3,0.436852666
IL36B,-0.225317449,0.470280783,0.703905996,#D3D3D3,0.327642767
DOP1B,-0.053884751,0.804595125,0.909012063,#D3D3D3,0.094422603
PDZD3,-0.707645028,0.0368991,0.159665579,#0072B2,1.432984228
PPIB,-1.567176884,7.92E-07,8.72E-05,#0072B2,6.101340817
NDUFB1,-0.384906283,0.020734438,0.11090391,#D3D3D3,1.683307728
RIN1,-0.227764211,0.271760666,0.528313692,#D3D3D3,0.565813402
PTS,-0.341780406,0.180584567,0.422015015,#D3D3D3,0.743319368
SPINK6,-0.007371213,0.982737344,0.993974967,#D3D3D3,0.007562541
LPGAT1,0.341540944,0.035997431,0.157568979,#D3D3D3,1.443728487
REEP6,0.094103618,0.761174667,0.886444647,#D3D3D3,0.118515674
FBXL16,-0.172146474,0.681091193,0.843388441,#D3D3D3,0.166794736
CCND3,1.416979058,7.13E-07,8.11E-05,#56B4E9,6.146908672
