GeneName,FC,P,FDR,Color,Significance
SETX,0.539287746,0.01006484,0.067599202,#56B4E9,1.997193146
WRNIP1,0.183160333,0.460664401,0.698330438,#D3D3D3,0.336615348
CATSPERD,-0.082445928,0.770699986,0.891148297,#D3D3D3,0.113114649
PEG10,-0.635746003,0.082905496,0.266959254,#D3D3D3,1.08141668
GPRC5B,0.167743674,0.532872004,0.749066734,#D3D3D3,0.273377096
ZFP41,0.220283137,0.346547014,0.60434978,#D3D3D3,0.460237839
MYMX,0.118717876,0.616658244,0.806889796,#D3D3D3,0.209955458
KRTAP10-1,0.417727866,0.130005244,0.346859013,#D3D3D3,0.886039129
TMEM45A,-0.088473103,0.743307203,0.876921433,#D3D3D3,0.128831659
KIF18B,0.405417007,0.234495267,0.487651937,#D3D3D3,0.629865918
BDKRB2,-0.474742379,0.308678018,0.567272851,#D3D3D3,0.510494297
KDM1B,-0.072193515,0.835156215,0.9248783,#D3D3D3,0.078232282
DPEP1,-0.209620458,0.666775497,0.835459754,#D3D3D3,0.176020368
FBLN5,-0.873170128,0.008715391,0.061433625,#0072B2,2.059713142
NCR3LG1,0.055573895,0.874129956,0.943335965,#D3D3D3,0.058423997
TMEM14C,0.148397036,0.299268589,0.556579715,#D3D3D3,0.523938864
ACE2,-0.12907102,0.720202057,0.864860008,#D3D3D3,0.142545643
NIBAN1,-0.270255972,0.191847407,0.435482893,#D3D3D3,0.717044067
RCN3,-1.377380444,0.000180411,0.003898267,#0072B2,3.743736843
PGBD5,-0.687708999,0.0209012,0.111618767,#0072B2,1.679828776
TMLHE,-0.143987614,0.338885556,0.596544702,#D3D3D3,0.469946941
CYP4F11,-0.372091865,0.20309051,0.448844407,#D3D3D3,0.69231037
ASS1,-0.138127698,0.356106663,0.612640236,#D3D3D3,0.4484199
NEFH,-0.373766239,0.323924702,0.581912734,#D3D3D3,0.489555933
CCDC127,0.23924765,0.309499071,0.567992801,#D3D3D3,0.509340651
AGTRAP,-1.429755762,5.35E-06,0.000322323,#0072B2,5.271253133
VN1R4,-0.206972763,0.388063504,0.638705698,#D3D3D3,0.411097199
RAD51D,0.772477117,0.094762053,0.289141631,#D3D3D3,1.02336554
PLCD3,-1.286832288,3.14E-05,0.001104079,#0072B2,4.502461588
TTC22,-1.03446763,0.091578803,0.283257322,#D3D3D3,1.038205036
TTC16,-0.325942222,0.052217973,0.198305929,#D3D3D3,1.282179993
TCHP,0.033672133,0.857422456,0.935642188,#D3D3D3,0.066805147
SLC5A7,-0.412102797,0.22467401,0.475770294,#D3D3D3,0.648447163
TIMM8B,-0.004732092,0.982971716,0.994010337,#D3D3D3,0.007458979
SLC46A1,-0.436560037,0.087155482,0.275549463,#D3D3D3,1.059705293
CAPN13,0.080093726,0.769664954,0.891051871,#D3D3D3,0.113698288
ANXA2,-0.652922716,0.001731832,0.01933739,#0072B2,2.761494247
SOBP,-0.218402137,0.430657832,0.675387689,#D3D3D3,0.36586765
CWC25,0.147680764,0.441985595,0.683917115,#D3D3D3,0.354591885
DNTTIP2,0.21519888,0.173697402,0.411569803,#D3D3D3,0.760206678
DBX2,-0.56105043,0.316221955,0.575240672,#D3D3D3,0.500007981
ANO1,-0.819121249,0.007326313,0.054395454,#0072B2,2.135114525
NFE2L1,-0.235289113,0.241419082,0.49592987,#D3D3D3,0.617228405
METTL23,-0.057427861,0.70929809,0.85849264,#D3D3D3,0.149171209
USP12,0.721398357,0.066578589,0.230587391,#D3D3D3,1.176665412
TTC28,-0.109430841,0.572532763,0.777493126,#D3D3D3,0.242199656
TMC6,0.717150631,0.000799133,0.011103535,#56B4E9,3.097380925
PPP3CA,0.331196468,0.291031421,0.54792712,#D3D3D3,0.53606012
RBM23,0.275510217,0.104347526,0.30590941,#D3D3D3,0.981517844
CEACAM21,-0.219126382,0.218892567,0.469179643,#D3D3D3,0.659768986
GUCY1A2,-0.235123055,0.168461682,0.403934156,#D3D3D3,0.773498868
ADORA2A,-0.210216541,0.145303381,0.37065671,#D3D3D3,0.837724282
ARFGAP3,-0.573581578,0.017547862,0.099311896,#0072B2,1.755775777
FOXK2,-0.056940492,0.7925111,0.90213306,#D3D3D3,0.100994646
ZNF544,0.398485204,0.038065136,0.162504634,#D3D3D3,1.419472617
ARHGEF7,0.557268453,0.037507358,0.161468458,#56B4E9,1.425883527
ARHGAP10,-0.238645768,0.561120563,0.769435031,#D3D3D3,0.250943816
SNX14,-0.133973895,0.42555464,0.670937952,#D3D3D3,0.37104467
ZNF736,0.123558495,0.421112038,0.667483079,#D3D3D3,0.375602344
GJB1,-0.417176316,0.204980464,0.451187246,#D3D3D3,0.688287528
PKNOX1,0.098873875,0.707302362,0.857108857,#D3D3D3,0.150394891
C12orf71,0.058536345,0.833161953,0.923640831,#D3D3D3,0.079270571
HSPA14,0.307796032,0.108749306,0.312439497,#D3D3D3,0.963573505
ANGPTL1,-0.915930933,0.007731608,0.056804064,#0072B2,2.111730167
TTC21B,0.964229304,0.053235196,0.200273658,#D3D3D3,1.273801145
SPAG6,0.168911226,0.504429361,0.728390972,#D3D3D3,0.297199642
NPIPA1,0.185747476,0.208423668,0.455970434,#D3D3D3,0.681052965
SPANXA1,-0.049848276,0.758695134,0.885039298,#D3D3D3,0.119932702
CLDN5,-0.428794371,0.148634452,0.374228421,#D3D3D3,0.827880514
CDH7,0.09035503,0.697699981,0.852660103,#D3D3D3,0.156331289
PARVA,-0.400807937,0.002922995,0.028361631,#D3D3D3,2.534171972
NKX1-1,0.297173015,0.470238317,0.703905996,#D3D3D3,0.327681986
MAP1LC3A,0.366555259,0.251618738,0.506301602,#D3D3D3,0.59925702
IL10RA,-0.19603657,0.321420557,0.579838054,#D3D3D3,0.492926351
MEGF11,0.185477339,0.560730055,0.769165255,#D3D3D3,0.251246166
TPCN1,-0.000637472,0.998124436,0.999072886,#D3D3D3,0.000815312
RASA3,0.265004817,0.194943164,0.439228895,#D3D3D3,0.71009199
ERICH6B,-0.492618497,0.296965838,0.554367414,#D3D3D3,0.527293508
TMEM67,0.062591233,0.837531463,0.925926879,#D3D3D3,0.076998869
GPX8,-0.347082984,0.244882413,0.499183381,#D3D3D3,0.611042404
CYP4Z1,0.236866052,0.032025899,0.146914673,#D3D3D3,1.494498665
FMNL3,1.151654369,0.002507793,0.025415721,#56B4E9,2.600708298
STARD3,0.013225697,0.945136978,0.977361767,#D3D3D3,0.024505245
ITGA3,-0.885150994,0.006137928,0.048251872,#0072B2,2.211978233
THNSL1,0.006251747,0.984753598,0.994728027,#D3D3D3,0.006672424
PDIA6,-1.110437141,9.17E-05,0.002397342,#0072B2,4.037723805
RAD50,0.225487453,0.237110231,0.490944792,#D3D3D3,0.625049706
NDFIP2,-0.444895274,0.193277035,0.437247133,#D3D3D3,0.713819746
FAHD1,0.039219544,0.919329635,0.963878084,#D3D3D3,0.03652874
RTF1,0.280913797,0.292523683,0.549745488,#D3D3D3,0.533838968
PAIP1,-0.218645607,0.44718747,0.687798652,#D3D3D3,0.349510373
SHISA6,0.111641827,0.765162354,0.888555679,#D3D3D3,0.116246406
MAGT1,-0.594444283,0.0147522,0.08844781,#0072B2,1.831143222
RELCH,0.303526611,0.143905768,0.368376035,#D3D3D3,0.841921799
WASF2,-0.144686939,0.145937885,0.371153934,#D3D3D3,0.835831951
IDI2,-0.061496119,0.903196071,0.955923093,#D3D3D3,0.04421796
POLR2M,0.023796273,0.906995664,0.957977379,#D3D3D3,0.042394789
YAE1,0.219840665,0.346963989,0.604594031,#D3D3D3,0.459715598
MRPL58,0.059281074,0.785157591,0.898373797,#D3D3D3,0.105043166
NKAP,0.385447468,0.158188077,0.388587939,#D3D3D3,0.800826254
THAP3,-0.266305658,0.063903157,0.225057744,#D3D3D3,1.194477684
OR10G2,-0.171717484,0.470477115,0.703905996,#D3D3D3,0.327461496
SCUBE2,-0.028733833,0.892711732,0.952384069,#D3D3D3,0.049288758
RBFOX1,0.198697952,0.275228394,0.531960935,#D3D3D3,0.560306764
HOXD4,-0.986190356,0.000377445,0.006484658,#0072B2,3.423146893
GMPPA,-0.811887447,0.004617526,0.039245481,#0072B2,2.335590617
TMPRSS11E,0.159697096,0.556015742,0.766221935,#D3D3D3,0.254912912
TRAPPC13,-0.482545855,0.21904209,0.469268512,#D3D3D3,0.659472425
MRGPRX2,0.786671382,0.045482199,0.181261998,#56B4E9,1.342158542
HTRA1,-0.406827264,0.210146093,0.458189166,#D3D3D3,0.67747868
UBE2R2,-0.246496381,0.313755593,0.5723605,#D3D3D3,0.503408523
RBBP6,0.111497158,0.658425463,0.831115177,#D3D3D3,0.181493382
TXNL4B,0.050850933,0.755499351,0.883305495,#D3D3D3,0.121765905
LHB,0.078411648,0.762874536,0.887212768,#D3D3D3,0.117546881
OR2A4,0.021542785,0.885575126,0.949080822,#D3D3D3,0.05277459
MAGEB6,-0.25738348,0.435203808,0.678726037,#D3D3D3,0.361307314
RARB,-0.117921402,0.63457911,0.817932342,#D3D3D3,0.197514229
THOC6,0.379876521,0.004102092,0.035896496,#D3D3D3,2.386994654
FAM162A,-0.484894715,0.028753541,0.136535528,#D3D3D3,1.541308657
SEC62,-0.684336915,0.005892603,0.046805837,#0072B2,2.229692811
MBTPS1,-0.37851463,0.013156689,0.081643164,#D3D3D3,1.880853395
PDE11A,0.042888875,0.859207403,0.936017032,#D3D3D3,0.06590199
STK17A,1.885513259,2.46E-07,4.06E-05,#56B4E9,6.609879068
RBM45,0.385236177,0.17520055,0.413858306,#D3D3D3,0.756464534
PRAG1,1.164835279,0.037580882,0.161506896,#56B4E9,1.425033027
PPM1L,0.1935832,0.60021929,0.79622951,#D3D3D3,0.221690051
DTX3,0.082742464,0.735840083,0.872877869,#D3D3D3,0.133216559
UBE2NL,0.421259438,0.104417708,0.306008704,#D3D3D3,0.981225842
COQ4,0.202781252,0.537609459,0.752524232,#D3D3D3,0.269533099
FBXL2,0.094916785,0.83136774,0.922744279,#D3D3D3,0.080206832
HYAL1,-0.404999073,0.174814759,0.413171777,#D3D3D3,0.757421905
ADA2,-1.093872122,0.000161431,0.003584581,#0072B2,3.792011915
PRMT1,0.406901583,0.033791822,0.152157993,#D3D3D3,1.47118839
MUCL1,0.118427084,0.565491866,0.772157223,#D3D3D3,0.247573638
ST13,0.574875869,0.015806498,0.092500942,#56B4E9,1.801164348
ZNF33A,0.316202781,0.158701087,0.389507518,#D3D3D3,0.799420097
HES7,0.243258119,0.112677999,0.319200269,#D3D3D3,0.948160873
HOXB7,-0.285494986,0.381936754,0.633516588,#D3D3D3,0.418008547
ZNF512B,0.200383171,0.344940656,0.60301108,#D3D3D3,0.462255615
ATP13A3,-0.161051871,0.559591209,0.768792367,#D3D3D3,0.252129117
ZNF747,0.11992765,0.656745665,0.830362401,#D3D3D3,0.182602785
CDH8,0.333556145,0.378788904,0.631527173,#D3D3D3,0.421602751
CDKL1,0.390317491,0.089953156,0.280701814,#D3D3D3,1.045983593
PLA2G4F,-0.725023063,0.008775271,0.061701466,#0072B2,2.056739471
IGFBP6,-0.362776905,0.321711746,0.57989643,#D3D3D3,0.492533083
BMERB1,0.231697594,0.332983115,0.591618957,#D3D3D3,0.477577788
NUDT13,-0.172473394,0.494791771,0.721635557,#D3D3D3,0.305577532
OR8I2,0.264926394,0.348170555,0.606142602,#D3D3D3,0.458207961
TRAK1,0.080793413,0.738449499,0.874353229,#D3D3D3,0.1316792
ATG10,-0.234963536,0.312847586,0.571496166,#D3D3D3,0.504667192
FBXL12,-0.141049417,0.48698624,0.715888886,#D3D3D3,0.31248331
NYX,0.324668722,0.257252942,0.513409246,#D3D3D3,0.58963965
OR5B21,0.090018502,0.760979507,0.886298239,#D3D3D3,0.118627038
TMEM265,-0.212842371,0.378670305,0.631464785,#D3D3D3,0.421738751
MAPKBP1,-0.077516373,0.740217299,0.875680602,#D3D3D3,0.130640769
TRAPPC2L,-0.217342273,0.440178543,0.682613885,#D3D3D3,0.356371131
HELLS,0.298345489,0.180623897,0.422015188,#D3D3D3,0.743224793
ADAM17,0.442998694,0.06074883,0.218260666,#D3D3D3,1.21646208
C16orf91,-0.13617291,0.57340427,0.777736647,#D3D3D3,0.241539077
GJD3,-0.17603332,0.494887385,0.721712554,#D3D3D3,0.305493616
CCDC115,0.542176421,0.066324297,0.230275326,#D3D3D3,1.178327342
FBXW10,-0.075471918,0.838678566,0.926587253,#D3D3D3,0.076404456
SPATC1,-0.843959693,0.149069861,0.374720928,#D3D3D3,0.826610153
NOL6,0.022898474,0.908107084,0.95846338,#D3D3D3,0.041862936
TRIM49B,0.055166239,0.840075508,0.927419131,#D3D3D3,0.075681677
CD163L1,-2.547900015,6.78E-06,0.00038061,#0072B2,5.168597049
PRDM6,-0.110977143,0.702611141,0.855320342,#D3D3D3,0.153284968
TRIM35,-0.249523937,0.384303864,0.635784599,#D3D3D3,0.415325248
OSBP,-0.345116112,0.085699201,0.272369288,#D3D3D3,1.067023227
CREG1,-1.097117662,7.41E-06,0.000404769,#0072B2,5.130163732
USP22,0.26041455,0.059675288,0.215128379,#D3D3D3,1.224205474
SPATA21,0.323786339,0.350573697,0.607751367,#D3D3D3,0.455220671
SEM1,-0.264169787,0.139892059,0.362339138,#D3D3D3,0.854206936
RTN4RL1,-0.15495532,0.776526173,0.894204162,#D3D3D3,0.109843902
ROR2,0.007929191,0.982091435,0.993766153,#D3D3D3,0.007848076
XRCC3,0.384495193,0.183120825,0.425045623,#D3D3D3,0.737262264
C19orf73,0.17172581,0.533095422,0.749169535,#D3D3D3,0.273195047
UQCC1,-0.489006157,0.027249221,0.132387862,#D3D3D3,1.564645904
FUBP1,0.521623799,0.011368659,0.073723503,#56B4E9,1.944290748
ZNF862,0.524407476,0.018037354,0.10122696,#56B4E9,1.743827163
CPT1B,0.506251747,0.139881097,0.362339138,#D3D3D3,0.85424097
RSAD1,0.171406307,0.629989611,0.814876815,#D3D3D3,0.200666612
MRPL17,-0.156501092,0.655886128,0.830034621,#D3D3D3,0.183171554
ZMYM2,0.309080099,0.050578558,0.193915152,#D3D3D3,1.29603356
LRATD2,-0.257830079,0.194550068,0.438823275,#D3D3D3,0.710968614
C9orf72,0.123760421,0.675006987,0.839351317,#D3D3D3,0.170691732
DLG1,-0.050407398,0.784770061,0.898232763,#D3D3D3,0.105257573
OR2T29,0.294235439,0.289891979,0.54660745,#D3D3D3,0.537763802
PIFO,0.188220853,0.649653863,0.826172655,#D3D3D3,0.187317975
SETDB2,-0.141782891,0.334301622,0.59303207,#D3D3D3,0.475861516
SYS1,0.760723359,0.011251952,0.07322023,#56B4E9,1.948772136
UQCR10,-0.341273657,0.139495701,0.361592518,#D3D3D3,0.855439177
H2BC4,-0.277157945,0.373728895,0.627566841,#D3D3D3,0.427443323
ELAVL4,-0.575098413,0.023277493,0.119755453,#0072B2,1.633063799
IL31,0.175555908,0.489111773,0.717740733,#D3D3D3,0.310591884
H4C15,0.053982946,0.910653481,0.959799498,#D3D3D3,0.040646848
TFDP2,-0.159894233,0.343719095,0.60160328,#D3D3D3,0.46379634
THAP12,0.576364172,0.009576048,0.065315546,#56B4E9,2.018813682
PDZD4,-0.102894057,0.798639335,0.9058663,#D3D3D3,0.097649304
LIAS,-0.173706457,0.427645266,0.672972297,#D3D3D3,0.368916332
TMEM129,0.315829917,0.094538581,0.288703252,#D3D3D3,1.02439092
FAM118A,0.248060686,0.136034247,0.355689379,#D3D3D3,0.866351743
TMEM220,0.235005673,0.464156246,0.700366018,#D3D3D3,0.333335801
CLMP,-0.660702363,0.003349325,0.031084537,#0072B2,2.47504274
RFPL2,-0.173680445,0.525328906,0.743649705,#D3D3D3,0.279568701
ABCC5,-0.535515604,0.045280101,0.180627415,#0072B2,1.344092609
CA1,-3.8682455,9.31E-05,0.002423029,#0072B2,4.031210256
FUNDC1,-0.26637592,0.30710865,0.565310167,#D3D3D3,0.512707951
POTED,0.126232524,0.461380988,0.698635945,#D3D3D3,0.335940305
LEPR,-0.626436667,0.024249897,0.123290823,#0072B2,1.615290101
APOH,-0.929962217,0.03993355,0.167538827,#0072B2,1.398662078
NLRC3,0.014500912,0.922199208,0.965387916,#D3D3D3,0.035175255
THAP4,-0.313747745,0.088741613,0.278484564,#D3D3D3,1.051872682
EPS8L3,-1.249518575,0.001051538,0.013629388,#0072B2,2.978175076
CD2,0.262073523,0.328615657,0.587111706,#D3D3D3,0.483311748
TTC27,0.443519744,0.075702664,0.250765075,#D3D3D3,1.120888836
DPP9,-0.002508454,0.988224789,0.995750284,#D3D3D3,0.005144256
XG,0.596832725,0.007085729,0.053124058,#56B4E9,2.149615441
LIME1,-0.490880464,0.009193174,0.063619219,#D3D3D3,2.0365345
KMT2A,0.141277654,0.451339246,0.691345239,#D3D3D3,0.345496901
KAT6A,0.688389885,0.002167963,0.022794042,#56B4E9,2.663948123
MS4A12,-2.086629794,4.65E-07,5.89E-05,#0072B2,6.3327551
OR5T1,-0.186723614,0.650779364,0.826820198,#D3D3D3,0.186566227
SNX5,0.463712189,0.008303814,0.059630373,#D3D3D3,2.080722375
C16orf96,0.274419743,0.429584813,0.674601913,#D3D3D3,0.366951081
MNT,0.002700714,0.988306084,0.995750284,#D3D3D3,0.005108531
WDCP,0.260475089,0.195039103,0.439228895,#D3D3D3,0.709878308
GNG12,-0.911258198,0.013397705,0.08262163,#0072B2,1.872969601
COX10,0.424199545,0.017686186,0.099871965,#D3D3D3,1.752365818
FAM98C,0.637477056,0.231600762,0.48402581,#D3D3D3,0.635260017
PNCK,-0.579961014,0.195018054,0.439228895,#D3D3D3,0.709925182
RNF212B,0.065310009,0.84009184,0.927419131,#D3D3D3,0.075673234
SHKBP1,0.494220831,0.048473268,0.18906978,#D3D3D3,1.314497696
NOL11,0.590469084,0.015352651,0.090568279,#56B4E9,1.813816635
GRM5,-0.082167372,0.873179263,0.943152961,#D3D3D3,0.058896587
CELF4,-0.619231411,0.043731005,0.176791162,#0072B2,1.359210544
JDP2,-1.282600386,0.000285071,0.005285583,#0072B2,3.545046237
NCOA4,-0.675046534,0.000583565,0.008828906,#0072B2,3.233910887
XAGE3,-0.158015023,0.371377255,0.625418891,#D3D3D3,0.430184698
PECR,0.373549823,0.006488326,0.050139497,#D3D3D3,2.187867353
ISYNA1,0.088928069,0.474145794,0.706417071,#D3D3D3,0.324088097
ANGEL1,-0.428466857,0.053656444,0.201319168,#D3D3D3,1.270378115
ATP8B4,-0.822749051,0.001628992,0.018531614,#0072B2,2.788080983
NDUFA13,-0.336014496,0.035934055,0.157552695,#D3D3D3,1.444493776
MATK,-0.19535401,0.297986872,0.555590417,#D3D3D3,0.525802868
UTP14C,0.31838229,0.160568082,0.392091344,#D3D3D3,0.794340779
SPA17,0.079095376,0.727065064,0.867853759,#D3D3D3,0.138426723
TMEM86B,0.334640372,0.077716464,0.255029844,#D3D3D3,1.10948697
TNFRSF8,0.02180747,0.92776501,0.968327439,#D3D3D3,0.03256201
PPAN,0.43212094,0.143104997,0.366939239,#D3D3D3,0.844345202
RC3H1,-0.085828093,0.480220969,0.710779329,#D3D3D3,0.31855888
PEX19,-0.050059859,0.775482802,0.893613233,#D3D3D3,0.110427829
RPL39,1.178523899,1.17E-07,2.45E-05,#56B4E9,6.930010014
PRSS8,-0.868363896,0.008161459,0.058985093,#0072B2,2.088232177
LDLRAP1,-0.799547834,0.001243205,0.015486311,#0072B2,2.905457224
SH2D2A,0.51170852,0.011028761,0.072185916,#56B4E9,1.957473286
KDM8,0.41039748,0.275172868,0.531914614,#D3D3D3,0.560394389
CTCFL,-0.23308829,0.458779984,0.697257908,#D3D3D3,0.338395538
RNF125,0.058863265,0.795064453,0.90406263,#D3D3D3,0.099597663
UFL1,0.096391586,0.482218379,0.711888331,#D3D3D3,0.316756241
MRNIP,0.035265553,0.866225954,0.939359435,#D3D3D3,0.062368808
MAGOHB,-0.026391742,0.884817252,0.94876638,#D3D3D3,0.053146418
PAM16,0.149068352,0.454313955,0.693758031,#D3D3D3,0.342643923
SMCO3,-0.177788431,0.509922124,0.731921945,#D3D3D3,0.292496145
LORICRIN,-0.33193931,0.299568545,0.556723812,#D3D3D3,0.52350379
SH2D4B,-0.093898927,0.760204556,0.88612543,#D3D3D3,0.119069532
DNAJC27,0.178739803,0.713822536,0.861185757,#D3D3D3,0.146409745
ANKRD13B,-0.430406002,0.168805263,0.404585311,#D3D3D3,0.772614016
SART1,-0.272535526,0.048447964,0.18906978,#D3D3D3,1.314724465
SLCO1A2,-0.88029058,0.053032107,0.199866532,#D3D3D3,1.275461118
TMEM100,-0.769402626,0.010211629,0.068296349,#0072B2,1.99090496
ADAM7,-0.033314394,0.935716867,0.97210381,#D3D3D3,0.028855542
ANKMY2,-0.105067887,0.717116595,0.863412045,#D3D3D3,0.144410228
ARAP2,0.970509854,0.002163535,0.022794042,#56B4E9,2.664836124
CCDC13,-0.629830091,0.012805756,0.080084679,#0072B2,1.892594783
FRAS1,0.288677054,0.567180634,0.773745583,#D3D3D3,0.246278606
PDE7A,0.781578434,0.000361585,0.006276159,#56B4E9,3.441789801
PLCG2,1.338231971,0.000116964,0.002832321,#56B4E9,3.931947262
SLC49A4,-0.366484084,0.195486262,0.439648446,#D3D3D3,0.708883759
MTFP1,-0.379677714,0.141500674,0.364919447,#D3D3D3,0.84924149
SPINK1,-1.035146191,0.004125562,0.036034553,#0072B2,2.384516873
NEK4,-0.279961516,0.163317243,0.396735198,#D3D3D3,0.786967961
SMC4,0.286314235,0.368423499,0.622746932,#D3D3D3,0.433652677
SOX10,-0.571667691,0.093081413,0.28580691,#D3D3D3,1.031137034
APOOL,-0.372480636,0.157871168,0.388262171,#D3D3D3,0.801697179
TUBE1,0.015605649,0.93921377,0.974172106,#D3D3D3,0.027235549
NECAP1,0.05094096,0.842334795,0.927966004,#D3D3D3,0.074515259
EMC3,-0.629149611,0.014841062,0.088761155,#0072B2,1.828535033
C6orf15,0.652092799,0.009599052,0.0654195,#56B4E9,2.017771655
ZNF366,-0.85034833,0.052322174,0.198478038,#D3D3D3,1.281314218
ANKRD6,-0.227671896,0.537842716,0.752761763,#D3D3D3,0.269344709
LRRC36,-0.215044448,0.387963818,0.638705698,#D3D3D3,0.411208775
CDR2,-0.360939575,0.288597818,0.545111243,#D3D3D3,0.539706957
KMT2D,0.427402522,0.016370968,0.094628121,#D3D3D3,1.785925649
LTBP1,-0.099358053,0.597405196,0.794246839,#D3D3D3,0.223731004
KRTAP12-4,-0.108192588,0.637076696,0.819390311,#D3D3D3,0.195808281
TOX2,0.075116878,0.749807819,0.880645364,#D3D3D3,0.125050035
CCDC28A-AS1,0.216211626,0.26450501,0.521277764,#D3D3D3,0.577566098
EMCN,-0.331298493,0.192140696,0.435658771,#D3D3D3,0.71638064
ASB12,0.054646358,0.868422379,0.940701065,#D3D3D3,0.061268993
NUP88,0.908442332,0.003275965,0.030588469,#56B4E9,2.484660792
WIPF1,0.708916007,5.23E-05,0.001616121,#56B4E9,4.2818327
SLC35E2B,-0.054895677,0.798477646,0.905804822,#D3D3D3,0.097737238
WDR26,0.032835613,0.876700412,0.944992607,#D3D3D3,0.057148789
TENT4A,0.332748265,0.035722417,0.157115243,#D3D3D3,1.447059167
KLC1,0.57783636,0.000277586,0.005192484,#56B4E9,3.556603062
KCTD13,0.154838265,0.18433721,0.426467994,#D3D3D3,0.734386991
OR7D4,0.23481108,0.35379762,0.610364356,#D3D3D3,0.451245093
DHX16,0.094633829,0.614054103,0.804889396,#D3D3D3,0.211793363
MSANTD4,0.215019213,0.595441468,0.792898232,#D3D3D3,0.225160923
NYAP1,-0.205500648,0.328082855,0.586695654,#D3D3D3,0.484016464
DRGX,-0.161732329,0.405811126,0.654477168,#D3D3D3,0.39167605
ZCWPW2,-0.428987372,0.158984733,0.389801849,#D3D3D3,0.798644578
PSPH,0.545711475,0.05584204,0.205673458,#D3D3D3,1.253038724
OR10A3,0.500164101,0.299012382,0.556303641,#D3D3D3,0.524310827
STATH,-1.388780074,0.004830714,0.040526061,#0072B2,2.315988662
EDEM3,-0.815471335,0.000949593,0.012581792,#0072B2,3.022462612
CCNJ,-0.089141997,0.770762687,0.891159658,#D3D3D3,0.113079318
COX5B,-0.484833932,0.000553827,0.008516609,#D3D3D3,3.256625714
DGAT2,0.013410438,0.972965474,0.990682093,#D3D3D3,0.01190257
H2AC1,-0.716370569,0.025137435,0.126070752,#0072B2,1.599679037
CKMT1A,-0.8627973,0.000126072,0.002988501,#0072B2,3.899379983
TRA2A,0.270171382,0.032395549,0.147966012,#D3D3D3,1.489514653
MYH9,0.190830536,0.216425526,0.466417331,#D3D3D3,0.664691518
CASTOR2,-0.20155583,0.299889151,0.557135335,#D3D3D3,0.523039245
GAD2,0.134951244,0.56210982,0.770102334,#D3D3D3,0.250178827
CRYBG2,-0.429591937,0.13072856,0.347742921,#D3D3D3,0.883629523
KRT25,-0.496289548,0.098706802,0.296331394,#D3D3D3,1.005652918
HOXD8,-0.223433887,0.371121584,0.625175729,#D3D3D3,0.430483787
EMILIN1,-1.273472824,9.32E-05,0.002423029,#0072B2,4.030635298
NANOS1,0.328924571,0.46100529,0.698497958,#D3D3D3,0.336294091
TBCD,-0.091055246,0.661772688,0.832236628,#D3D3D3,0.179291161
GOSR2,-0.176929207,0.433494302,0.677495639,#D3D3D3,0.363016606
PIP5K1B,-0.457087306,0.242994343,0.497198818,#D3D3D3,0.614403836
ATG7,-0.056212116,0.667124931,0.835528094,#D3D3D3,0.175792829
MAST3,-0.065928392,0.701361672,0.855059031,#D3D3D3,0.154057971
OR5AU1,-0.137896871,0.628371138,0.813897024,#D3D3D3,0.201783771
BATF2,-0.741319391,0.011690786,0.075176079,#0072B2,1.932156301
BCAS2,0.092258113,0.497987285,0.72391562,#D3D3D3,0.302781746
C1GALT1C1,-0.53337165,0.101837164,0.301857821,#D3D3D3,0.992093702
SMIM10,-0.14922922,0.657525527,0.830792056,#D3D3D3,0.182087382
FANCM,-0.165532402,0.630141727,0.815011025,#D3D3D3,0.200561761
CEP55,0.481056815,0.386468331,0.63755546,#D3D3D3,0.412886089
ARHGEF26,-0.541476071,0.000286341,0.005297467,#0072B2,3.543116377
DUOX1,0.181850757,0.442617616,0.684518013,#D3D3D3,0.353971305
COG5,0.271926946,0.137986267,0.359002862,#D3D3D3,0.860164135
SPATC1L,-0.326329006,0.282039615,0.53875358,#D3D3D3,0.549689886
CEP57L1,-0.421417968,0.226544552,0.47798972,#D3D3D3,0.644846377
GCNA,-0.360749082,0.09275638,0.285328715,#D3D3D3,1.032656208
PDCD10,0.043517099,0.823675435,0.919656617,#D3D3D3,0.084243886
POU5F2,-0.149777039,0.475864282,0.707686986,#D3D3D3,0.322516892
RCAN1,-0.971212862,9.86E-05,0.002514261,#0072B2,4.006091252
ANKS1B,-0.014670067,0.959647582,0.984203733,#D3D3D3,0.017888227
GMNC,0.25645718,0.392800462,0.642806,#D3D3D3,0.40582801
CNR1,1.524219271,0.010100725,0.067691707,#56B4E9,1.995647452
PRMT5,0.06973364,0.684084575,0.844099965,#D3D3D3,0.164890202
OR5C1,0.312790989,0.13268296,0.350748738,#D3D3D3,0.877184849
MAGEB4,-0.177904059,0.516765836,0.73783661,#D3D3D3,0.286706206
TBXA2R,-0.337448108,0.183620285,0.425627326,#D3D3D3,0.736079342
ZNF716,0.249936039,0.573271414,0.777619027,#D3D3D3,0.241639714
SLC29A4,-0.20873217,0.200557601,0.446491515,#D3D3D3,0.697760874
ZNF394,0.004533594,0.972459694,0.990561809,#D3D3D3,0.01212839
SSH3,-0.014967652,0.976539402,0.992438198,#D3D3D3,0.010310229
DAAM2,-0.932051042,0.005440546,0.044254326,#0072B2,2.264357509
SLC25A45,0.210610227,0.415959068,0.663104976,#D3D3D3,0.380949404
CCNB3,-0.139272206,0.723415579,0.866186854,#D3D3D3,0.140612143
